Date, 1, 2, 3, 4, 5, 6, 7, 8
1981-10-01,.00,.00,.00,.00,.00,.00,.00,.00
1981-10-02,1.50,1.49,.19,1.15,.83,.60,.46,.43
1981-10-03,5.19,5.04,.69,3.80,2.72,1.94,1.45,1.36
1981-10-04,3.14,3.11,.42,2.35,1.68,1.20,.90,.84
1981-10-05,8.02,7.81,1.06,5.91,4.23,3.03,2.26,2.13
1981-10-06,7.98,7.85,1.07,5.93,4.23,3.03,2.25,2.12
1981-10-07,62.40,60.35,8.20,45.68,32.65,23.40,17.45,16.41
1981-10-08,50.09,49.20,6.74,37.15,26.52,18.97,14.12,13.26
1981-10-09,46.36,45.72,6.29,34.47,24.60,17.58,13.07,12.27
1981-10-10,92.84,90.70,12.33,68.65,49.05,35.14,26.20,24.64
1981-10-11,66.45,65.67,9.02,49.52,35.35,25.22,18.73,17.58
1981-10-12,54.24,53.73,7.43,40.42,28.83,20.52,15.22,14.26
1981-10-13,46.90,46.45,6.45,34.89,24.88,17.68,13.09,12.26
1981-10-14,40.77,40.38,5.63,30.29,21.59,15.32,11.33,10.60
1981-10-15,35.61,35.26,4.93,26.42,18.83,13.34,9.85,9.21
1981-10-16,31.22,30.91,4.33,23.14,16.48,11.67,8.61,8.04
1981-10-17,27.48,27.20,3.82,20.34,14.49,10.25,7.55,7.05
1981-10-18,24.25,24.01,3.38,17.94,12.78,9.03,6.64,6.20
1981-10-19,21.47,21.25,2.99,15.87,11.30,7.98,5.87,5.47
1981-10-20,19.05,18.85,2.66,14.07,10.02,7.07,5.19,4.84
1981-10-21,16.93,16.76,2.37,12.51,8.90,6.28,4.61,4.30
1981-10-22,15.09,14.93,2.11,11.14,7.93,5.59,4.09,3.82
1981-10-23,13.46,13.32,1.88,9.94,7.07,4.98,3.65,3.40
1981-10-24,12.03,11.91,1.68,8.88,6.32,4.45,3.25,3.03
1981-10-25,10.77,10.65,1.51,7.94,5.65,3.98,2.91,2.71
1981-10-26,9.65,9.55,1.35,7.12,5.06,3.56,2.60,2.42
1981-10-27,20.50,19.97,2.74,15.05,10.72,7.60,5.57,5.22
1981-10-28,446.95,441.35,30.62,385.30,303.14,124.48,52.57,49.61
1981-10-29,723.76,719.39,55.09,618.48,451.01,195.89,75.96,72.91
1981-10-30,431.39,429.26,40.72,354.44,237.44,119.52,55.03,52.70
1981-10-31,315.58,314.35,31.95,255.57,165.27,85.74,40.84,39.01
1981-11-01,269.43,268.34,28.00,216.57,137.26,71.96,34.60,33.06
1981-11-02,233.40,232.44,24.72,186.58,116.43,61.55,29.59,28.26
1981-11-03,205.88,205.03,22.06,163.97,101.12,53.67,25.61,24.47
1981-11-04,184.51,183.75,19.89,146.62,89.57,47.57,22.41,21.42
1981-11-05,166.99,166.30,18.06,132.51,80.38,42.64,19.78,18.92
1981-11-06,152.59,151.98,16.50,121.02,73.01,38.62,17.60,16.85
1981-11-07,140.52,139.96,15.16,111.46,66.93,35.26,15.77,15.11
1981-11-08,130.23,129.72,14.00,103.35,61.83,32.43,14.22,13.64
1981-11-09,121.39,120.93,13.00,96.41,57.49,30.00,12.91,12.39
1981-11-10,124.81,124.03,13.39,98.70,59.02,31.28,14.04,13.50
1981-11-11,144.74,143.53,15.81,113.76,68.60,37.22,17.95,17.31
1981-11-12,381.95,378.21,40.26,302.92,193.46,105.26,54.13,52.86
1981-11-13,974.09,967.20,101.17,776.10,511.75,269.72,143.24,141.22
1981-11-14,1971.88,1960.61,213.11,1552.94,1021.25,556.55,320.24,317.37
1981-11-15,2990.67,2974.54,344.46,2306.98,1496.32,852.29,520.08,516.28
1981-11-16,7280.93,7239.84,868.26,5536.10,3604.67,2183.20,1364.80,1354.36
1981-11-17,7577.53,7529.86,970.40,5636.93,3574.03,2249.44,1420.28,1402.75
1981-11-18,3869.10,3841.37,557.85,2782.45,1723.76,1122.82,729.53,716.46
1981-11-19,2662.85,2642.80,394.96,1895.68,1180.21,768.77,505.89,495.43
1981-11-20,2427.30,2408.52,353.33,1737.01,1086.34,706.18,464.73,454.17
1981-11-21,3075.78,3052.13,425.98,2235.43,1412.90,913.78,597.23,583.30
1981-11-22,2846.72,2824.11,394.30,2067.55,1317.87,859.06,569.82,555.11
1981-11-23,4122.03,4090.62,534.45,3055.29,1966.53,1272.56,837.01,814.79
1981-11-24,4121.31,4089.07,536.34,3048.77,1975.99,1300.23,867.82,841.77
1981-11-25,2774.15,2750.51,380.19,2018.05,1319.59,883.96,608.75,587.08
1981-11-26,3457.32,3428.71,453.50,2551.73,1667.22,1108.56,754.02,726.51
1981-11-27,4066.76,4032.14,518.11,3024.25,1982.09,1315.20,890.90,856.71
1981-11-28,2522.15,2499.08,343.24,1837.07,1222.51,827.12,579.90,553.48
1981-11-29,2113.29,2093.47,288.55,1538.46,1029.42,695.31,487.16,463.41
1981-11-30,1828.78,1811.23,249.68,1331.61,894.80,603.52,422.03,400.36
1981-12-01,1634.13,1618.09,221.65,1192.42,803.84,541.49,378.06,357.92
1981-12-02,1550.82,1535.38,208.15,1135.33,766.79,515.70,359.23,339.59
1981-12-03,1461.23,1446.61,194.62,1072.42,726.32,488.19,339.74,320.73
1981-12-04,1296.11,1282.99,173.13,950.54,646.58,435.45,303.15,285.76
1981-12-05,1179.35,1167.21,157.36,865.26,590.30,398.08,277.00,260.87
