Date, 1, 2, 3, 4, 5, 6, 7, 8
1981-10-01,.00,.00,.00,.00,.00,.00,.00,.00
1981-10-02,.02,.15,.19,.32,.22,.15,.02,.43
1981-10-03,.15,.55,.69,1.09,.77,.50,.09,1.36
1981-10-04,.03,.34,.42,.67,.48,.31,.05,.84
1981-10-05,.21,.84,1.06,1.69,1.20,.77,.13,2.13
1981-10-06,.13,.85,1.07,1.69,1.20,.77,.14,2.12
1981-10-07,2.05,6.46,8.20,13.04,9.25,5.95,1.04,16.41
1981-10-08,.89,5.32,6.74,10.62,7.55,4.85,.86,13.26
1981-10-09,.64,4.96,6.29,9.87,7.03,4.50,.80,12.27
1981-10-10,2.14,9.71,12.33,19.60,13.91,8.94,1.56,24.64
1981-10-11,.78,7.13,9.02,14.17,10.13,6.48,1.15,17.58
1981-10-12,.51,5.88,7.43,11.59,8.31,5.31,.95,14.26
1981-10-13,.45,5.11,6.45,10.01,7.20,4.59,.83,12.26
1981-10-14,.40,4.46,5.63,8.70,6.27,3.99,.73,10.60
1981-10-15,.35,3.91,4.93,7.59,5.48,3.49,.64,9.21
1981-10-16,.31,3.44,4.33,6.66,4.81,3.06,.56,8.04
1981-10-17,.28,3.04,3.82,5.85,4.24,2.70,.50,7.05
1981-10-18,.25,2.69,3.38,5.17,3.75,2.39,.44,6.20
1981-10-19,.22,2.38,2.99,4.57,3.32,2.12,.39,5.47
1981-10-20,.20,2.12,2.66,4.06,2.95,1.88,.35,4.84
1981-10-21,.17,1.88,2.37,3.61,2.62,1.67,.31,4.30
1981-10-22,.16,1.68,2.11,3.21,2.34,1.50,.28,3.82
1981-10-23,.14,1.50,1.88,2.87,2.09,1.34,.25,3.40
1981-10-24,.13,1.34,1.68,2.56,1.87,1.20,.22,3.03
1981-10-25,.11,1.20,1.51,2.29,1.67,1.07,.20,2.71
1981-10-26,.10,1.08,1.35,2.05,1.50,.96,.18,2.42
1981-10-27,.54,2.18,2.74,4.33,3.13,2.02,.35,5.22
1981-10-28,5.60,25.43,30.62,82.17,178.66,71.90,2.97,49.61
